ID,accepteret_dansk_navn,species,wcvp_species,gbif_species
5297,Strand-kogleaks,Schoenoplectus maritimus,Bolboschoenus maritimus,Bolboschoenus maritimus
5298,Blågrøn kogleaks,Schoenoplectus tabernaemontani,Schoenoplectus tabernaemontani,Schoenoplectus tabernaemontani
5299,Rust-skæne,Schoenus ferrugineus,Schoenus ferrugineus,Schoenus ferrugineus
5300,Sort skæne,Schoenus nigricans,Schoenus nigricans,Schoenus nigricans
5301,NA,Schroederia nitzschioides,,Schroederia nitzschioides
5302,NA,Schroederia planktonica,,Schroederia planktonica
5303,NA,Schroederia setigera,Suaeda splendens,Schroederia setigera
5304,NA,Schroederia spiralis,,Schroederia spiralis
5305,Hybrid-skilla,Scilla ×allenii,Scilla x allenii,Scilla allenii
5306,Tobladet skilla,Scilla bifolia,Scilla bifolia,Scilla bifolia
5307,Almindelig snepryd,Scilla forbesii,Scilla forbesii,Scilla forbesii
5308,Stor snepryd,Scilla luciliae,Scilla luciliae,Scilla luciliae
5309,Liden snepryd,Scilla sardensis,Scilla sardensis,Scilla sardensis
5310,Gaffelrør,Scinaia furcellata,,Scinaia furcellata
5311,Skov-kogleaks,Scirpus sylvaticus,Scirpus sylvaticus,Scirpus sylvaticus
5312,Grøn kortkapsel,Sciuro-hypnum curtum,,Sciuro-hypnum curtum
5313,Sten-kortkapsel,Sciuro-hypnum plumosum,,Sciuro-hypnum plumosum
5314,Park-kortkapsel,Sciuro-hypnum populeum,,Sciuro-hypnum populeum
5315,Elle-kortkapsel,Sciuro-hypnum reflexum,,Sciuro-hypnum reflexum
5316,Glinsende kortkapsel,Sciuro-hypnum starkei,,Sciuro-hypnum starkei
5317,Enårig knavel,Scleranthus annuus,Scleranthus annuus,Scleranthus annuus
5318,Enårig knavel × flerårig knavel,Scleranthus annuus × perennis,Scleranthus annuus,NA
5319,Enårig knavel (underart),Scleranthus annuus subsp. annuus,Scleranthus annuus,Scleranthus annuus
5320,Bakke-knavel,Scleranthus annuus subsp. polycarpos,Scleranthus annuus,Scleranthus annuus
5321,Flerårig knavel,Scleranthus perennis,Scleranthus perennis,Scleranthus perennis
5322,Ru fedtmos,Scleropodium touretii,,Scleropodium touretii
5323,Spansk guldtidsel,Scolymus hispanicus,Scolymus hispanicus,Scolymus hispanicus
5324,Skopolaminurt,Scopolia carniolica,Scopolia carniolica,Scopolia carniolica
5325,Grøn krumblad,Scorpidium cossonii,,Scorpidium cossonii
5326,Rød krumblad,Scorpidium revolvens,,Scorpidium revolvens
5327,Stor skorpionmos,Scorpidium scorpioides,Teucrium scordium,Scorpidium scorpioides
5328,Skorpionurt,Scorpiurus muricatus,Scorpiurus muricatus,Scorpiurus muricatus
5329,Have-skorsoner,Scorzonera hispanica,Pseudopodospermum hispanicum,Pseudopodospermum hispanicum
5330,Lav skorsoner,Scorzonera humilis,Scorzonera humilis,Scorzonera humilis
5331,Høst-borst,Scorzoneroides autumnalis,Scorzoneroides autumnalis,Scorzoneroides autumnalis
5332,NA,Scourfieldia complanata,,Scourfieldia complanata
5333,Øret brunrod,Scrophularia auriculata,Scrophularia auriculata,Scrophularia auriculata
5334,NA,Scrophularia canina,Scrophularia canina,Scrophularia canina
5335,Gul brunrod,Scrophularia chrysantha,Scrophularia chrysantha,Scrophularia chrysantha
5336,Knoldet brunrod,Scrophularia nodosa,Scrophularia nodosa,Scrophularia nodosa
5337,Enårig brunrod,Scrophularia peregrina,Scrophularia peregrina,Scrophularia peregrina
5338,NA,Scrophularia scopolii,Scrophularia scopolii,Scrophularia scopolii
5339,Vand-brunrod,Scrophularia umbrosa,Scrophularia oblongifolia,Scrophularia umbrosa
5340,Rundtakket brunrod,Scrophularia umbrosa var. neesii,Scrophularia oblongifolia,Scrophularia neesii
5341,Vand-brunrod (varietet),Scrophularia umbrosa var. umbrosa,Scrophularia oblongifolia,NA
5342,Vår-brunrod,Scrophularia vernalis,Scrophularia vernalis,Scrophularia vernalis
5343,Høj skjolddrager,Scutellaria altissima,Scutellaria altissima,Scutellaria altissima
5344,Almindelig skjolddrager,Scutellaria galericulata,Scutellaria galericulata,Scutellaria galericulata
5345,NA,Scutellaria galericulata × minor,Scutellaria galericulata,NA
5346,Spydbladet skjolddrager,Scutellaria hastifolia,Scutellaria hastifolia,Scutellaria hastifolia
5347,Almindelig rug,Secale cereale,Secale cereale,Secale cereale
5348,Triticale,Secale cereale × Triticum aestivum,Secale cereale,NA
5349,Bjerg-rug,Secale montanum,Secale strictum,Secale strictum
5350,Giftig kronvikke,Securigera varia,Coronilla varia,Coronilla varia
5351,Bidende stenurt,Sedum acre,Sedum acre,Sedum acre
5352,Hvid stenurt,Sedum album,Sedum album,Sedum album
5353,Engelsk stenurt,Sedum anglicum,Sedum anglicum,Sedum anglicum
5354,NA,Sedum annuum,Sedum annuum,Sedum annuum
5355,Pyrenæisk stenurt,Sedum dasyphyllum,Sedum dasyphyllum,Sedum dasyphyllum
5356,Fransk stenurt,Sedum forsterianum,Sedum sexangulare,NA
5357,Kurdisk stenurt,Sedum gracile,Sedum gracile,Sedum gracile
5358,Bleg stenurt,Sedum hispanicum,Sedum hispanicum,Sedum hispanicum
5359,Mos-stenurt,Sedum lydium,Sedum lydium,Sedum lydium
5360,NA,Sedum monregalense,Sedum monregalense,Sedum monregalense
5361,Bjerg-stenurt,Sedum rupestre,Petrosedum rupestre,NA
5362,Seksradet stenurt,Sedum sexangulare,Sedum sexangulare,Sedum sexangulare
5363,Pudret stenurt,Sedum spathulifolium,Sedum spathulifolium,Sedum spathulifolium
5364,NA,Sedum villosum,Sedum villosum,Sedum villosum
5365,Sporekædesky,Seirospora interrupta,,Seirospora interrupta
5366,Dværgulvefod,Selaginella selaginoides,Selaginella selaginoides,Selaginella selaginoides
5367,Skygge-kalkmos,Seligeria calcarea,,Seligeria calcarea
5368,Seline,Selinum carvifolia,Selinum carvifolia,Selinum carvifolia
5369,Brændeskærm,Selinum dubium,Conioselinum tataricum,Selinum dubium
5370,Spindelvævs-husløg,Sempervivum arachnoideum,Sempervivum arachnoideum,Sempervivum arachnoideum
5371,Dolomtter-husløg,Sempervivum dolomiticum,Sempervivum dolomiticum,Sempervivum dolomiticum
5372,Kugle-husløg,Sempervivum globiferum,Sempervivum globiferum,Sempervivum globiferum
5373,Husløg,Sempervivum tectorum,Sempervivum tectorum,Sempervivum tectorum
5374,NA,Senecio cladobitrys,Tephroseris cladobotrys,Senecio cladobitrys
5375,Smalbladet brandbæger,Senecio inaequidens,Senecio inaequidens,Senecio inaequidens
5376,Vår-brandbæger,Senecio leucanthemifolius,Senecio leucanthemifolius,Senecio leucanthemifolius
5377,Vår-brandbæger (underart),Senecio leucanthemifolius subsp. vernalis,Senecio vernalis,Senecio vernalis
5378,Vår-brandbæger × skov-brandbæger,Senecio leucanthemifolius subsp. vernalis × sylvaticus,Senecio vernalis,NA
5379,Vår-brandbæger × almindelig brandbæger,Senecio leucanthemifolius subsp. vernalis × vulgaris,Senecio vernalis,NA
5380,Pilebladet brandbæger,Senecio ovatus,Senecio ovatus,Senecio ovatus
5381,NA,Senecio platyphylloides,Caucasalia pontica,Caucasalia pontica
5382,NA,Senecio propinquus,Senecio propinquus,Senecio propinquus
5383,Saracenisk brandbæger,Senecio sarracenicus,Senecio sarracenicus,Senecio sarracenicus
5384,Italiensk brandbæger,Senecio squalidus,Senecio squalidus,Senecio squalidus
5385,Skov-brandbæger,Senecio sylvaticus,Senecio sylvaticus,Senecio sylvaticus
5386,Skov-brandbæger × klæbrig brandbæger,Senecio sylvaticus × viscosus,Senecio sylvaticus,NA
5387,Skov-brandbæger × almindelig brandbæger,Senecio sylvaticus × vulgaris,Senecio sylvaticus,NA
5388,Klæbrig brandbæger,Senecio viscosus,Senecio viscosus,Senecio viscosus
5389,Klæbrig brandbæger × almindelig brandbæger,Senecio viscosus × vulgaris,Senecio viscosus,NA
5390,Almindelig brandbæger,Senecio vulgaris,Senecio vulgaris,Senecio vulgaris
5391,Klit-brandbæger,Senecio vulgaris var. denticulatus,Senecio vulgaris,Senecio vulgaris
5392,Vinter-brandbæger,Senecio vulgaris var. hibernicus,Senecio vulgaris,Senecio vulgaris
5393,Almindelig brandbæger (varietet),Senecio vulgaris var. vulgaris,Senecio vulgaris,Senecio vulgaris
5394,Kaffe-sennes,Senna occidentalis,Senna occidentalis,Senna occidentalis
5395,NA,Senna tora,Senna tora,Senna tora
5396,NA,Sequoiadendron giganteum,Sequoiadendron giganteum,Sequoiadendron giganteum
5397,Eng-skær,Serratula tinctoria,Serratula tinctoria,Serratula tinctoria
5398,Sesam,Sesamum indicum,Sesamum indicum,Sesamum indicum
5399,NA,Sesbania sesban,Sesbania sesban,Sesbania sesban
5400,Hjorterod,Seseli libanotis,Seseli libanotis,Seseli libanotis
5401,Mørk blåaks,Sesleria heufleriana,Sesleria heufleriana,Sesleria heufleriana
5402,Fabers skærmaks,Setaria faberi,Setaria faberi,Setaria faberi
5403,Kolbehirse,Setaria italica,Setaria italica,Setaria italica
5404,Knæbøjet skærmaks,Setaria parviflora,Setaria parviflora,Setaria parviflora
5405,Blågrøn skærmaks,Setaria pumila,Setaria pumila,Setaria pumila
5406,Krans-skærmaks,Setaria verticillata,Setaria verticillata,Setaria verticillata
5407,Grøn skærmaks,Setaria viridis,Setaria viridis,Setaria viridis
5408,Stor skærmaks,Setaria viridis var. major,Setaria viridis,Setaria viridis
5409,Grøn skærmaks (varietet),Setaria viridis var. viridis,Setaria viridis,Setaria viridis
5410,Blåstjerne,Sherardia arvensis,Sherardia arvensis,Sherardia arvensis
5411,Gaffel-potentil,Sibbaldianthe bifurca,Sibbaldianthe bifurca,Sibbaldianthe bifurca
5412,Smalbladet sida,Sida rhombifolia,Sida rhombifolia,Sida rhombifolia
5413,Tornet sida,Sida spinosa,Sida spinosa,Sida spinosa
5414,Silkekatost,Sidalcea candida,Sidalcea candida,Sidalcea candida
5415,NA,Sideritis italica,Sideritis italica,Sideritis italica
5416,Bjerg-kortkrone,Sideritis montana,Sideritis montana,Sideritis montana
5417,NA,Siderocelis ornata,,Siderocelis ornata
5418,NA,Sigesbeckia flosculosa,Sigesbeckia flosculosa,Sigesbeckia flosculosa
5419,Asiatisk klæbekurv,Sigesbeckia orientalis,Sigesbeckia orientalis,Sigesbeckia orientalis
5420,Sydamerikansk klæbeurt,Sigesbeckia serrata,Sigesbeckia serrata,Sigesbeckia jorullensis
5421,Peberskærm,Silaum silaus,Silaum silaus,Silaum silaus
5422,NA,Silene behen,Silene behen,Silene behen
5423,Kegle-limurt,Silene conica,Silene conica,Silene conica
5424,Orientalsk limurt,Silene csereii,Silene csereii,Silene csereii
5425,Gaffel-limurt,Silene dichotoma,Silene dichotoma,Silene dichotoma
5426,Dagpragtstjerne,Silene dioica,Silene dioica,Silene dioica
5427,Dagpragtstjerne × aftenpragtstjerne,Silene dioica × latifolia,Silene dioica,NA
5428,NA,Silene dioica var. crassifolia,Silene dioica,Silene dioica
5429,NA,Silene dioica var. dioica,Silene dioica,Silene dioica
5430,NA,Silene dioica var. serpentinicola,Silene dioica,Silene dioica
5431,NA,Silene dioica var. smithii,Silene dioica,Silene dioica
5432,Fransk limurt,Silene gallica,Silene gallica,Silene gallica
5433,NA,Silene involucrata,Silene involucrata,Silene involucrata
5434,NA,Silene involucrata subsp. furcata,Silene involucrata,Silene involucrata
5435,Italiensk limurt,Silene italica,Silene italica,Silene italica
5436,Aftenpragtstjerne,Silene latifolia,Silene latifolia,Silene latifolia
5437,Aftenpragtstjerne (underart),Silene latifolia subsp. alba,Silene latifolia,Silene latifolia
5438,NA,Silene linicola,Silene linicola,Silene linicola
5439,NA,Silene muscipula,Silene muscipula,Silene muscipula
5440,Nat-limurt,Silene noctiflora,Silene noctiflora,Silene noctiflora
5441,Nikkende limurt,Silene nutans,Silene nutans,Silene nutans
5442,Klit-limurt,Silene otites,Silene otites,Silene otites
5443,Rød limurt,Silene pendula,Silene pendula,Silene pendula
5444,NA,Silene portensis,Silene portensis,Silene portensis
5445,NA,Silene secundiflora,Silene secundiflora,Silene secundiflora
5446,Strand-limurt,Silene uniflora,Silene uniflora,Silene uniflora
5447,NA,Silene uniflora subsp. petraea,Silene uniflora,Silene uniflora
5448,NA,Silene uniflora subsp. uniflora,Silene uniflora,Silene uniflora
5449,NA,Silene viridiflora,Silene viridiflora,Silene viridiflora
5450,Klæbrig limurt,Silene viscosa,Silene viscosa,Silene viscosa
5451,Blæresmælde,Silene vulgaris,Silene vulgaris,Silene vulgaris
5452,NA,Silene vulgaris var. pubescens,Silene vulgaris,Silene vulgaris
5453,NA,Silene vulgaris var. vulgaris,Silene vulgaris,Silene vulgaris
5454,Skålplante,Silphium perfoliatum,Silphium perfoliatum,Silphium perfoliatum
5455,Marietidsel,Silybum marianum,Silybum marianum,Silybum marianum
5456,Fliget brandbæger,Sinacalia tangutica,Sinacalia tangutica,Sinacalia tangutica
5457,Gul sennep,Sinapis alba,Sinapis alba,Sinapis alba
5458,Gul sennep (underart),Sinapis alba subsp. alba,Sinapis alba,Sinapis alba
5459,Fliget sennep,Sinapis alba subsp. dissecta,Sinapis alba,Sinapis alba
5460,Ager-sennep,Sinapis arvensis,Raphanus raphanistrum,Sinapis arvensis
5461,Ager-sennep (varietet),Sinapis arvensis var. arvensis,Raphanus raphanistrum,NA
5462,Stivhåret ager-sennep,Sinapis arvensis var. orientalis,Rhamphospermum arvense,Sinapis arvensis
5463,Ungarsk vejsennep,Sisymbrium altissimum,Sisymbrium altissimum,Sisymbrium altissimum
5464,Donau-vejsennep,Sisymbrium austriacum,Sisymbrium austriacum,Sisymbrium austriacum
5465,Glat vejsennep,Sisymbrium irio,Sisymbrium irio,Sisymbrium irio
5466,Stivhåret vejsennep,Sisymbrium loeselii,Sisymbrium loeselii,Sisymbrium loeselii
5467,Rank vejsennep,Sisymbrium officinale,Sisymbrium officinale,Sisymbrium officinale
5468,NA,Sisymbrium officinale var. leiocarpum,Sisymbrium officinale,Sisymbrium officinale
5469,NA,Sisymbrium officinale var. officinale,Sisymbrium officinale,Sisymbrium officinale
5470,Orientalsk vejsennep,Sisymbrium orientale,Sisymbrium orientale,Sisymbrium orientale
5471,NA,Sisymbrium orientale var. subhastatum,Sisymbrium orientale,Sisymbrium orientale
5472,Middelhavs-vejsennep,Sisymbrium polyceratium,Sisymbrium polyceratium,Sisymbrium polyceratium
5473,Stiv vejsennep,Sisymbrium strictissimum,Sisymbrium strictissimum,Sisymbrium strictissimum
5474,Volga-vejsennep,Sisymbrium volgense,Sisymbrium volgense,Sisymbrium volgense
5475,Blåøje,Sisyrinchium montanum,Sisyrinchium montanum,Sisyrinchium montanum
5476,Bredbladet mærke,Sium latifolium,Sium latifolium,Sium latifolium
5477,Bredbladet mærke (submers form),Sium latifolium f. submersum,Sium latifolium,Sium latifolium
5478,NA,Smyrnium olusatrum,Smyrnium olusatrum,Smyrnium olusatrum
5479,Lundgylden,Smyrnium perfoliatum,Smyrnium perfoliatum,Smyrnium perfoliatum
5480,Æthiopisk ægplante,Solanum aethiopicum,Solanum aethiopicum,Solanum aethiopicum
5481,Storfrugtet natskygge,Solanum americanum,Solanum americanum,Solanum americanum
5482,NA,Solanum capsicoides,Solanum capsicoides,Solanum capsicoides
5483,NA,Solanum carolinense,Solanum carolinense,Solanum carolinense
5484,NA,Solanum chenopodioides,Solanum chenopodioides,Solanum chenopodioides
5485,NA,Solanum citrullifolium,Solanum citrullifolium,Solanum citrullifolium
5486,Bittersød natskygge,Solanum dulcamara,Solanum dulcamara,Solanum dulcamara
5487,Bittersød natskygge (varietet),Solanum dulcamara var. dulcamara,Solanum dulcamara,Solanum dulcamara
5488,Klit-natskygge,Solanum dulcamara var. litorale,Solanum dulcamara,Solanum dulcamara
5489,Strand-natskygge,Solanum dulcamara var. marinum,Solanum dulcamara,Solanum dulcamara
5490,NA,Solanum elaeagnifolium,Solanum elaeagnifolium,Solanum elaeagnifolium
5491,Kænguruæble,Solanum laciniatum,Solanum laciniatum,Solanum laciniatum
5492,Tomat,Solanum lycopersicum,Solanum lycopersicum,Solanum lycopersicum
5493,Aubergine,Solanum melongena,Solanum melongena,Solanum melongena
5494,Sort natskygge,Solanum nigrum,Solanum nigrum,Solanum nigrum
5495,Sort natskygge (underart),Solanum nigrum subsp. nigrum,Solanum nigrum,Solanum nigrum
5496,Kirtel-natskygge,Solanum nigrum subsp. schultesii,Solanum nigrum,Solanum decipiens
5497,Storbægret natskygge,Solanum physalifolium,Solanum physalifolium,Solanum physalifolium
5498,NA,Solanum physalifolium var. nitidibaccatum,Solanum nitidibaccatum,Solanum nitidibaccatum
5499,Cherry-tomat,Solanum pimpinellifolium,Solanum pimpinellifolium,Solanum pimpinellifolium
5500,Jerusalem-natskygge,Solanum pseudocapsicum,Solanum pseudocapsicum,Solanum pseudocapsicum
5501,Bøffelburre,Solanum rostratum,Solanum rostratum,Solanum angustifolium
5502,NA,Solanum sarrachoides,Solanum sarrachoides,Solanum sarrachoides
5503,NA,Solanum scabrum,Solanum scabrum,Solanum scabrum
5504,NA,Solanum sisymbriifolium,Solanum sisymbriifolium,Solanum sisymbriifolium
5505,Treblomstret natskygge,Solanum triflorum,Solanum triflorum,Solanum triflorum
5506,Kartoffel,Solanum tuberosum,Solanum tuberosum,Solanum tuberosum
5507,Håret natskygge,Solanum villosum,Solanum villosum,Solanum villosum
5508,Højrød natskygge,Solanum villosum subsp. miniatum,Solanum villosum,Solanum villosum
5509,Håret natskygge (underart),Solanum villosum subsp. villosum,Solanum villosum,Solanum villosum
5510,Husfred,Soleirolia soleirolii,Soleirolia soleirolii,Soleirolia soleirolii
5511,Kanadisk gyldenris,Solidago canadensis,Solidago canadensis,Solidago canadensis
5512,Kanadisk gyldenris × sildig gyldenris,Solidago canadensis × gigantea,Solidago canadensis,NA
5513,Kanadisk gyldenris × almindelig gyldenris,Solidago canadensis × virgaurea,Solidago canadensis,NA
5514,Sildig gyldenris,Solidago gigantea,Solidago gigantea,Solidago gigantea
5515,Sildig gyldenris × almindelig gyldenris,Solidago gigantea × virgaurea,Solidago gigantea,NA
5516,NA,Solidago gigantea subsp. serotina,Solidago gigantea,Solidago gigantea
5517,NA,Solidago rugosa,Solidago rugosa,Solidago rugosa
5518,Almindelig gyldenris,Solidago virgaurea,Solidago virgaurea,Solidago virgaurea
5519,Ager-svinemælk,Sonchus arvensis,Sonchus arvensis,Sonchus arvensis
5520,Almindelig ager-svinemælk,Sonchus arvensis var. arvensis,Sonchus arvensis,Sonchus arvensis
5521,Glat ager-svinemælk,Sonchus arvensis var. glabrescens,Sonchus arvensis,Sonchus arvensis
5522,Ru svinemælk,Sonchus asper,Sonchus asper,Sonchus asper
5523,Strand-svinemælk,Sonchus maritimus,Sonchus maritimus,Sonchus maritimus
5524,Almindelig svinemælk,Sonchus oleraceus,Sonchus oleraceus,Sonchus oleraceus
5525,Kær-svinemælk,Sonchus palustris,Sonchus palustris,Sonchus palustris
5526,NA,Sonchus tenerrimus,Sonchus tenerrimus,Sonchus tenerrimus
5527,Kinesisk tusindtop,Sorbaria kirilowii,Sorbaria kirilowii,Sorbaria kirilowii
5528,Tusindtop,Sorbaria sorbifolia,Sorbaria sorbifolia,Sorbaria sorbifolia
5529,Kashmir-tusindtop,Sorbaria tomentosa,Sorbaria tomentosa,Sorbaria tomentosa
5530,NA,Sorbus ×thuringiaca,Hedlundia thuringiaca,Sorbus thuringiaca
5531,Aksel-røn,Sorbus aria,Aria edulis,NA
5532,Almindelig røn,Sorbus aucuparia,Sorbus aucuparia,Sorbus aucuparia
5533,Almindelig røn × finsk røn,Sorbus aucuparia × hybrida,Sorbus aucuparia,NA
5534,Almindelig røn × selje-røn,Sorbus aucuparia × intermedia,Sorbus aucuparia,NA
5535,Almindelig røn × klippe-røn,Sorbus aucuparia × rupicola,Sorbus aucuparia,NA
5536,Østrigsk røn,Sorbus austriaca,Hedlundia austriaca,Sorbus austriaca
5537,Finsk røn,Sorbus hybrida,Hedlundia hybrida,NA
5538,Finsk røn × selje-røn,Sorbus hybrida × intermedia,Hedlundia hybrida,NA
5539,Selje-røn,Sorbus intermedia,Scandosorbus intermedia,NA
5540,Perle-røn,Sorbus koehneana,Sorbus koehneana,Sorbus koehneana
5541,Bredbladet røn,Sorbus latifolia,Karpatiosorbus devoniensis,NA
5542,Fager-røn,Sorbus meinichii,Hedlundia meinichii,Hedlundia meinichii
5543,Pyrenæisk røn,Sorbus mougeotii,Hedlundia mougeotii,Hedlundia mougeotii
5544,Klippe-røn,Sorbus rupicola,Aria rupicola,Aria rupicola
5545,Telemarks-røn,Sorbus semipinnata,Hedlundia hybrida,NA
5546,Tarmvrid-røn,Sorbus torminalis,Torminalis glaberrima,Torminalis glaberrima
5547,Græsk røn,Sorbus umbellata,Aria umbellata,Aria umbellata
5548,Almindelig durra,Sorghum bicolor,Sorghum bicolor,Sorghum bicolor
5549,Vild durra,Sorghum halepense,Sorghum halepense,Sorghum halepense
5550,Smalbladet pindsvineknop,Sparganium angustifolium,Sparganium angustifolium,Sparganium angustifolium
5551,Smalbladet pindsvineknop × enkelt pindsvineknop,Sparganium angustifolium × emersum,Sparganium angustifolium,NA
5552,Smalbladet pindsvineknop × spæd pindsvineknop,Sparganium angustifolium × natans,Sparganium angustifolium,NA
5553,Enkelt pindsvineknop,Sparganium emersum,Sparganium emersum,Sparganium emersum
5554,Enkelt pindsvineknop × grenet pindsvineknop,Sparganium emersum × erectum,Sparganium emersum,NA
5555,Enkelt pindsvineknop × spæd pindsvineknop,Sparganium emersum × natans,Sparganium emersum,NA
5556,Enkelt pindsvineknop (submers form),Sparganium emersum f. submersum,Sparganium emersum,Sparganium emersum
5557,Grenet pindsvineknop,Sparganium erectum,Sparganium erectum,Sparganium erectum
5558,Sodfarvet pindsvineknop,Sparganium erectum subsp. erectum,Sparganium erectum,Sparganium erectum
5559,Småfrugtet pindsvineknop,Sparganium erectum subsp. microcarpum,Sparganium erectum,Sparganium erectum
5560,Ten-pindsvineknop,Sparganium erectum subsp. neglectum,Sparganium erectum,Sparganium erectum
5561,Kugle-pindsvineknop,Sparganium erectum subsp. oocarpum,Sparganium erectum,Sparganium erectum
5562,Spæd pindsvineknop,Sparganium natans,Sparganium natans,Sparganium natans
5563,Hybrid-vadegræs,Spartina ×townsendii,Sporobolus x townsendii,Sporobolus townsendii
5564,Amerikansk vadegræs,Spartina alterniflora,Sporobolus alterniflorus,Sporobolus alterniflorus
5565,Engelsk vadegræs,Spartina anglica,Sporobolus anglicus,Sporobolus anglicus
5566,Kam-vadegræs,Spartina pectinata,Sporobolus michauxianus,Sporobolus michauxianus
5567,Almindelig spergel,Spergula arvensis,Spergula arvensis,Spergula arvensis
5568,Almindelig spergel (underart),Spergula arvensis subsp. arvensis,Spergula arvensis,Spergula arvensis
5569,Hør-spergel,Spergula arvensis subsp. linicola,Spergula arvensis,Spergula arvensis
5570,Stor spergel,Spergula arvensis subsp. maxima,Spergula arvensis,Spergula arvensis
5571,Foder-spergel,Spergula arvensis subsp. sativa,Spergula arvensis,Spergula arvensis
5572,Vår-spergel,Spergula morisonii,Spergula morisonii,Spergula morisonii
5573,Hvid hindeknæ,Spergularia bocconei,Spergularia bocconei,Spergularia bocconei
5574,Kødet hindeknæ,Spergularia marina,Spergularia marina,Spergularia marina
5575,Vingefrøet hindeknæ,Spergularia media,Spergularia media,Spergularia media
5576,NA,Spergularia nicaeensis,Spergularia nicaeensis,Spergularia nicaeensis
5577,Mark-hindeknæ,Spergularia rubra,Spergularia rubra,Spergularia rubra
5578,NA,Spermatozopsis exsultans,,Spermatozopsis exsultans
5579,Pudderkvastalge,Spermothamnion repens,,Spermothamnion repens
5580,NA,Sphaerellopsis filum,,Sphaerellopsis filum
5581,NA,Sphaerellopsis fluviatilis,,Vitreochlamys fluviatilis
5582,NA,Sphaerocystis planctonica,,Sphaerocystis planctonica
5583,NA,Sphaerocystis schroeteri,,Sphaerocystis schroeteri
5584,Stribet tørvemos,Sphagnum affine,,Sphagnum affine
5585,Rødgrenet tørvemos,Sphagnum angustifolium,,Sphagnum angustifolium
5586,Rødbrun tørvemos,Sphagnum auriculatum,,NA
5587,Austins tørvemos,Sphagnum austinii,,Sphagnum austinii
5588,Tætbladet tørvemos,Sphagnum balticum,,Sphagnum balticum
5589,Plyds-tørvemos,Sphagnum capillifolium,,Sphagnum capillifolium
5590,Midtstillet tørvemos,Sphagnum centrale,,Sphagnum centrale
5591,Tæt tørvemos,Sphagnum compactum,,Sphagnum compactum
5592,Krumbladet tørvemos,Sphagnum contortum,,Sphagnum contortum
5593,Pjusket tørvemos,Sphagnum cuspidatum,,Sphagnum cuspidatum
5594,Pjusket tørvemos (varietet),Sphagnum cuspidatum var. cuspidatum,,Sphagnum cuspidatum
5595,Grøn tørvemos,Sphagnum cuspidatum var. viride,,Sphagnum cuspidatum
5596,Rød tørvemos (delvist),Sphagnum divinum,,Sphagnum divinum
5597,Rød tørvemos (i bred forstand),Sphagnum divinum/medium,,NA
5598,Brodspids-tørvemos,Sphagnum fallax,,Sphagnum fallax
5599,NA,Sphagnum fallax var. brevifolium,,Sphagnum fallax
5600,NA,Sphagnum fallax var. fallax,,Sphagnum fallax
5601,Frynset tørvemos,Sphagnum fimbriatum,,Sphagnum fimbriatum
5602,Kuplet tørvemos,Sphagnum flexuosum,,Sphagnum flexuosum
5603,Rustbrun tørvemos,Sphagnum fuscum,,Sphagnum fuscum
5604,Stiv tørvemos,Sphagnum girgensohnii,,Sphagnum girgensohnii
5605,Stump tørvemos,Sphagnum inundatum,,Sphagnum inundatum
5606,Glinsende tørvemos,Sphagnum lindbergii,,Sphagnum lindbergii
5607,Svømmende tørvemos,Sphagnum majus,,Sphagnum majus
5608,NA,Sphagnum majus subsp. majus,,Sphagnum majus
5609,NA,Sphagnum majus subsp. norvegicum,,Sphagnum majus
5610,Rød tørvemos (delvist),Sphagnum medium,,Sphagnum medium
5611,Blød tørvemos,Sphagnum molle,,Sphagnum molle
5612,Småporet tørvemos,Sphagnum obtusum,,Sphagnum obtusum
5613,Almindelig tørvemos,Sphagnum palustre,,Sphagnum palustre
5614,Sod-tørvemos,Sphagnum papillosum,,Sphagnum papillosum
5615,Storbladet tørvemos,Sphagnum platyphyllum,,Sphagnum platyphyllum
5616,Smuk tørvemos,Sphagnum pulchrum,,Sphagnum pulchrum
5617,Tregrenet tørvemos,Sphagnum quinquefarium,,Sphagnum quinquefarium
5618,Kløftet tørvemos,Sphagnum riparium,,Sphagnum riparium
5619,Kohorns-tørvemos,Sphagnum rubellum,,Sphagnum rubellum
5620,Spraglet tørvemos,Sphagnum russowii,,Sphagnum russowii
5621,Udspærret tørvemos,Sphagnum squarrosum,,Sphagnum squarrosum
5622,Stjerne-tørvemos,Sphagnum strictum,,Sphagnum strictum
5623,Fedtet tørvemos,Sphagnum subnitens,,Sphagnum subnitens
5624,Ensidig tørvemos,Sphagnum subsecundum,,Sphagnum subsecundum
5625,Skebladet tørvemos,Sphagnum tenellum,,Sphagnum tenellum
5626,Trindgrenet tørvemos,Sphagnum teres,,Sphagnum teres
5627,Blygrå tørvemos,Sphagnum warnstorfii,,Sphagnum warnstorfii
5628,Spinat,Spinacia oleracea,Spinacia oleracea,Spinacia oleracea
5629,Snedrivebusk,Spiraea ×arguta,Spiraea salicifolia,Spiraea arguta
5630,Klase-spiræa,Spiraea ×billardii,Spiraea x billardii,Spiraea billardii
5631,NA,Spiraea ×cinerea,Spiraea x cinerea,Spiraea cinerea
5632,Fontenays spiræa,Spiraea ×fontenaysii,Spiraea canescens,Spiraea fontenaysii
5633,Stortoppet spiræa,Spiraea ×macrothyrsa,Spiraea x macrothyrsa,Spiraea macrothyrsa
