family,genus,species,N
Gentianaceae,Gentianella,Gentianella campestris,171
Gentianaceae,Gentianella,Gentianella campestris,171
Gentianaceae,Gentianella,Gentianella uliginosa,211
Geraniaceae,Geranium,Geranium columbinum,800
Geraniaceae,Geranium,Geranium lucidum,53
Geraniaceae,Geranium,Geranium palustre,289
Geraniaceae,Geranium,Geranium robertianum,13989
Geraniaceae,Geranium,Geranium purpureum,791
Geraniaceae,Geranium,Geranium sanguineum,8392
Geraniaceae,Geranium,Geranium sylvaticum,242
Rosaceae,Geum,Geum rivale,29771
Rosaceae,Geum,Geum urbanum,27862
Papaveraceae,Glaucium,Glaucium flavum,192
Lamiaceae,Glechoma,Glechoma hederacea,21791
Poaceae,Glyceria,Glyceria declinata,1763
Poaceae,Glyceria,Glyceria fluitans,45921
Poaceae,Glyceria,Glyceria maxima,27217
Poaceae,Glyceria,Glyceria notata,2850
Asteraceae,Gnaphalium,Gnaphalium sylvaticum,726
Asteraceae,Gnaphalium,Gnaphalium uliginosum,2541
Orchidaceae,Goodyera,Goodyera repens,193
Potamogetonaceae,Groenlandia,Groenlandia densa,14
Orchidaceae,Gymnadenia,Gymnadenia conopsea,52
Cystopteridaceae,Gymnocarpium,Gymnocarpium dryopteris,825
Orchidaceae,Hammarbya,Hammarbya paludosa,129
Araliaceae,Hedera,Hedera helix,7511
Cistaceae,Helianthemum,Helianthemum nummularium,896
Cistaceae,Helianthemum,Helianthemum nummularium,896
Asteraceae,Helichrysum,Helichrysum arenarium,2028
Apiaceae,Helosciadium,Helosciadium inundatum,564
Apiaceae,Helosciadium,Helosciadium repens,1
Ranunculaceae,Hepatica,Hepatica nobilis,1639
Apiaceae,Heracleum,Heracleum sphondylium,5101
Orchidaceae,Herminium,Herminium monorchis,92
Caryophyllaceae,Herniaria,Herniaria glabra,252
Asteraceae,Hieracium,Hieracium umbellatum,23846
Poaceae,Anthoxanthum,Anthoxanthum nitens,1113
Elaeagnaceae,Hippophae,Hippophae rhamnoides,10743
Plantaginaceae,Hippuris,Hippuris vulgaris,1844
Poaceae,Holcus,Holcus lanatus,176340
Poaceae,Holcus,Holcus mollis,28064
Caryophyllaceae,Holosteum,Holosteum umbellatum,14
Caryophyllaceae,Honckenya,Honckenya peploides,6772
Poaceae,Hordelymus,Hordelymus europaeus,2881
Poaceae,Hordeum,Hordeum marinum,7
Poaceae,Hordeum,Hordeum secalinum,191
Primulaceae,Hottonia,Hottonia palustris,4977
Cannabaceae,Humulus,Humulus lupulus,4904
Lycopodiaceae,Huperzia,Huperzia selago,50
Hydrocharitaceae,Hydrocharis,Hydrocharis morsus-ranae,3505
Araliaceae,Hydrocotyle,Hydrocotyle vulgaris,24199
Crassulaceae,Hylotelephium,Hylotelephium maximum,1883
Hypericaceae,Hypericum,Hypericum hirsutum,613
Hypericaceae,Hypericum,Hypericum humifusum,487
Hypericaceae,Hypericum,Hypericum maculatum,6754
Hypericaceae,Hypericum,Hypericum montanum,143
Hypericaceae,Hypericum,Hypericum perforatum,23739
Hypericaceae,Hypericum,Hypericum pulchrum,2031
Hypericaceae,Hypericum,Hypericum tetrapterum,6836
Asteraceae,Trommsdorffia,Trommsdorffia maculata,753
Asteraceae,Hypochaeris,Hypochaeris radicata,75245
Aquifoliaceae,Ilex,Ilex aquifolium,6514
Caryophyllaceae,Illecebrum,Illecebrum verticillatum,58
Balsaminaceae,Impatiens,Impatiens noli-tangere,3168
Asteraceae,Inula,Inula britannica,106
Asteraceae,Inula,Inula salicina,144
Iridaceae,Iris,Iris pseudacorus,37032
Iridaceae,Iris,Iris spuria,54
Brassicaceae,Isatis,Isatis tinctoria,112
Isoetaceae,Isoetes,Isoetes echinospora,21
Isoetaceae,Isoetes,Isoetes lacustris,39
Cyperaceae,Isolepis,Isolepis fluitans,442
Cyperaceae,Isolepis,Isolepis setacea,659
Asteraceae,Jacobaea,Jacobaea aquatica,3258
Asteraceae,Jacobaea,Jacobaea erucifolia,49
